Data info
File name: E:\Werk\jumat cipeles\CIPELES 26-11-2020 - AKSELEROMETER\kalibrasi jumat\kal 1_0116.dxd
Start time: 11/27/2020 14:24:16.330
Number of channels: 1
Sample rate: 100
Store type: always fast


Data1

Time (s)	AI 8 (um/m)
0	-12783.504
0.01	995.66376
0.02	1280.8258
0.03	-889.54852
0.04	331.45883
0.05	-63.980122
0.06	-11.747433
0.07	15.430041
0.08	-7.9506459
0.09	1.7025065
0.1	-0.64362144
0.11	-0.85853392
0.12	-0.57198393
0.13	-0.57198393
0.14	-0.052612107
0.15	-0.034702733
0.16	-0.22275116
0.17	-0.50930113
0.18	-0.42870894
0.19	-0.53616518
0.2	-0.94808078
0.21	-0.55407459
0.22	-0.20484178
0.23	-0.41079956
0.24	-0.41079956
0.25	-0.22275116
0.26	-0.39289021
0.27	-0.66153079
0.28	-0.48243707
0.29	-0.16902304
0.3	-0.17797773
0.31	-0.14215897
0.32	0.063798822
0.33	-0.64362144
0.34	-0.6794402
0.35	-0.28543395
0.36	-0.80480582
0.37	-0.68839484
0.38	-0.65257609
0.39	-0.84062451
0.4	-0.51825583
0.41	-0.40184489
0.42	-0.66153079
0.43	-0.98389953
0.44	-0.6704855
0.45	-0.33916208
0.46	-0.98389953
0.47	-1.1450839
0.48	-0.7242136
0.49	-0.48243707
0.5	-0.18693241
0.51	-0.20484178
0.52	-0.65257609
0.53	-1.1898574
0.54	-0.89435267
0.55	-0.4645277
0.56	-0.54511988
0.57	-0.39289021
0.58	-0.87644327
0.59	-0.81376046
0.6	0.11752694
0.61	0.13543631
0.62	-0.50930113
0.63	-0.70630425
0.64	-0.097385541
0.65	-0.15111366
0.66	-0.50034642
0.67	-0.034702733
0.68	-0.11529491
0.69	-0.69734955
0.7	-0.84957922
0.71	-0.97494483
0.72	-0.58989328
0.73	-0.21379647
0.74	-1.0018089
0.75	-0.98389953
0.76	-0.39289021
0.77	-1.1540385
0.78	-1.7898214
0.79	-1.2346307
0.8	-0.7152589
0.81	-0.70630425
0.82	-0.36602613
0.83	-0.61675739
0.84	-1.0376277
0.85	-0.84062451
0.86	-0.7152589
0.87	-0.11529491
0.88	-0.2585699
