timestamp,x,z
14:02:13:397,0.189,-0.202
14:02:13:428,0.498,-0.002
14:02:13:464,0.279,-0.106
14:02:13:491,0.42,-0.054
14:02:13:521,-0.056,-0.215
14:02:13:557,-0.72,-0.589
14:02:13:589,-0.264,-0.212
14:02:13:616,-0.188,-0.379
14:02:13:647,0.322,-0.037
14:02:13:678,0.546,-0.005
14:02:13:709,0.321,-0.101
14:02:13:742,0.436,-0.048
14:02:13:773,-0.377,-0.351
14:02:13:804,-0.634,-0.512
14:02:13:835,-0.183,-0.213
14:02:13:868,-0.166,-0.327
14:02:13:899,0.528,0.064
14:02:13:930,0.366,-0.095
14:02:13:961,0.422,-0.059
14:02:13:994,0.352,-0.131
14:02:14:025,-0.572,-0.385
14:02:14:056,-0.503,-0.398
14:02:14:087,-0.193,-0.269
14:02:14:120,-0.279,-0.306
14:02:14:152,0.463,-0.069
14:02:14:178,0.624,0.093
14:02:14:214,0.382,-0.107
14:02:14:241,0.388,-0.029
14:02:14:272,-0.245,-0.263
14:02:14:303,-0.656,-0.624
14:02:14:340,-0.185,-0.168
14:02:14:367,0.252,-0.209
14:02:14:398,0.538,0.077
14:02:14:429,0.259,-0.181
14:02:14:460,0.411,-0.014
14:02:14:493,-0.088,-0.316
14:02:14:524,-0.631,-0.469
14:02:14:554,-0.267,-0.404
14:02:14:585,-0.254,-0.292
14:02:14:618,0.334,0.037
14:02:14:649,0.572,-0.032
14:02:14:680,0.309,-0.106
14:02:14:710,0.41,-0.038
14:02:14:743,-0.225,-0.271
14:02:14:774,-0.6,-0.558
14:02:14:805,-0.215,-0.284
14:02:14:836,-0.23,-0.355
14:02:14:869,0.172,-0.119
14:02:14:900,0.721,0.122
14:02:14:931,0.292,-0.16
14:02:14:962,0.451,-0.019
14:02:14:995,-0.216,-0.277
14:02:15:026,-0.588,-0.559
14:02:15:057,-0.148,-0.267
14:02:15:089,-0.317,-0.378
14:02:15:116,-0.143,-0.245
14:02:15:147,-0.07,-0.182
14:02:15:178,-0.02,-0.204
14:02:15:209,-0.037,-0.129
14:02:15:242,-0.107,-0.172
14:02:15:273,0.004,-0.17
14:02:15:304,-0.039,-0.181
14:02:15:335,-0.033,-0.129
14:02:15:368,-0.074,-0.161
14:02:15:399,-0.029,-0.159
14:02:15:430,-0.027,-0.122
14:02:15:461,-0.049,-0.153
14:02:15:494,-0.081,-0.129
14:02:15:525,-0.034,-0.132
14:02:15:556,-0.048,-0.152
14:02:15:587,-0.099,-0.134
