2020-11-19T11:18:07.921Z,���Initializing Gyro
2020-11-19T11:18:07.953Z,Testing Gyro connections...
2020-11-19T11:18:07.985Z,Gyro connection successful
2020-11-19T11:18:08.017Z,Calibration ACCELERO...
2020-11-19T11:18:10.682Z,-0.00,0.00
2020-11-19T11:18:10.697Z,0.00,0.00
2020-11-19T11:18:10.734Z,0.00,-0.00
2020-11-19T11:18:10.735Z,0.00,-0.00
2020-11-19T11:18:10.735Z,-0.00,0.00
2020-11-19T11:18:10.745Z,0.00,0.01
2020-11-19T11:18:10.761Z,-0.00,-0.00
2020-11-19T11:18:10.777Z,0.00,-0.00
2020-11-19T11:18:10.793Z,0.00,0.00
2020-11-19T11:18:10.801Z,-0.00,0.00
2020-11-19T11:18:10.809Z,0.00,0.00
2020-11-19T11:18:10.825Z,0.00,-0.00
2020-11-19T11:18:10.841Z,0.00,0.00
2020-11-19T11:18:10.842Z,0.00,0.00
2020-11-19T11:18:10.857Z,-0.00,0.00
2020-11-19T11:18:10.873Z,-0.00,-0.00
2020-11-19T11:18:10.888Z,0.00,0.00
2020-11-19T11:18:10.889Z,-0.00,0.00
2020-11-19T11:18:10.904Z,0.00,0.00
2020-11-19T11:18:10.920Z,0.00,0.01
2020-11-19T11:18:10.936Z,0.00,0.00
2020-11-19T11:18:10.939Z,0.00,0.00
2020-11-19T11:18:10.952Z,0.00,0.00
2020-11-19T11:18:10.968Z,-0.00,-0.00
2020-11-19T11:18:10.984Z,-0.00,-0.01
2020-11-19T11:18:11.000Z,-0.00,-0.01
2020-11-19T11:18:11.007Z,0.00,0.00
2020-11-19T11:18:11.016Z,-0.00,0.00
2020-11-19T11:18:11.032Z,-0.00,0.01
2020-11-19T11:18:11.048Z,0.00,-0.00
2020-11-19T11:18:11.056Z,0.00,0.00
2020-11-19T11:18:11.064Z,0.00,-0.00
2020-11-19T11:18:11.080Z,-0.00,-0.00
2020-11-19T11:18:11.096Z,-0.00,0.01
2020-11-19T11:18:11.112Z,-0.00,0.00
2020-11-19T11:18:11.112Z,-0.00,-0.01
2020-11-19T11:18:11.128Z,0.00,0.00
2020-11-19T11:18:11.144Z,-0.00,0.00
2020-11-19T11:18:11.160Z,0.00,0.00
2020-11-19T11:18:11.160Z,0.00,-0.01
2020-11-19T11:18:11.176Z,0.00,-0.01
2020-11-19T11:18:11.192Z,-0.00,-0.00
2020-11-19T11:18:11.208Z,0.00,-0.00
2020-11-19T11:18:11.224Z,0.00,-0.00
2020-11-19T11:18:11.224Z,0.00,0.00
2020-11-19T11:18:11.239Z,-0.00,-0.00
2020-11-19T11:18:11.256Z,0.00,0.00
2020-11-19T11:18:11.271Z,-0.00,-0.01
2020-11-19T11:18:11.287Z,-0.00,-0.00
2020-11-19T11:18:11.289Z,0.00,0.01
2020-11-19T11:18:11.303Z,0.00,-0.00
2020-11-19T11:18:11.319Z,0.00,0.00
2020-11-19T11:18:11.335Z,0.00,0.00
2020-11-19T11:18:11.340Z,-0.00,-0.00
2020-11-19T11:18:11.351Z,0.00,-0.00
2020-11-19T11:18:11.367Z,-0.00,0.00
2020-11-19T11:18:11.383Z,0.00,0.00
2020-11-19T11:18:11.399Z,0.00,-0.00
2020-11-19T11:18:11.406Z,-0.00,0.01
2020-11-19T11:18:11.415Z,-0.00,-0.01
2020-11-19T11:18:11.431Z,-0.00,0.00
2020-11-19T11:18:11.447Z,0.00,0.01
2020-11-19T11:18:11.463Z,-0.00,-0.00
2020-11-19T11:18:11.463Z,-0.00,-0.00
2020-11-19T11:18:11.479Z,0.00,-0.00
2020-11-19T11:18:11.495Z,-0.00,-0.00
2020-11-19T11:18:11.511Z,0.00,-0.01
2020-11-19T11:18:11.527Z,0.00,-0.00
2020-11-19T11:18:11.527Z,0.00,-0.00
2020-11-19T11:18:11.543Z,-0.00,-0.01
2020-11-19T11:18:11.559Z,-0.00,-0.00
2020-11-19T11:18:11.575Z,0.00,0.00
2020-11-19T11:18:11.590Z,-0.00,-0.00
2020-11-19T11:18:11.591Z,-0.00,0.00
2020-11-19T11:18:11.607Z,-0.00,-0.00
2020-11-19T11:18:11.623Z,0.00,0.00
2020-11-19T11:18:11.638Z,-0.00,-0.00
2020-11-19T11:18:11.654Z,-0.00,0.00
2020-11-19T11:18:11.655Z,-0.00,0.01
2020-11-19T11:18:11.670Z,-0.00,0.00
2020-11-19T11:18:11.686Z,0.00,-0.00
2020-11-19T11:18:11.702Z,-0.00,0.00
2020-11-19T11:18:11.718Z,-0.00,-0.00
2020-11-19T11:18:11.722Z,-0.00,0.00
2020-11-19T11:18:11.734Z,-0.00,0.01
2020-11-19T11:18:11.750Z,0.00,0.00
2020-11-19T11:18:11.766Z,0.00,0.01
2020-11-19T11:18:11.772Z,0.00,0.00
2020-11-19T11:18:11.782Z,0.00,0.00
