2020-11-19T11:32:08.464Z,3Initializing Gyro
2020-11-19T11:32:08.496Z,Testing Gyro connections...
2020-11-19T11:32:08.528Z,Gyro connection successful
2020-11-19T11:32:08.560Z,Calibration ACCELERO...
2020-11-19T11:32:11.224Z,-0.00,0.00
2020-11-19T11:32:11.239Z,-0.00,-0.00
2020-11-19T11:32:11.255Z,-0.00,-0.00
2020-11-19T11:32:11.271Z,-0.00,0.00
2020-11-19T11:32:11.287Z,-0.00,0.01
2020-11-19T11:32:11.303Z,-0.01,0.00
2020-11-19T11:32:11.304Z,-0.00,0.00
2020-11-19T11:32:11.319Z,-0.01,-0.00
2020-11-19T11:32:11.335Z,-0.01,-0.01
2020-11-19T11:32:11.351Z,-0.01,-0.01
2020-11-19T11:32:11.367Z,-0.01,-0.02
2020-11-19T11:32:11.383Z,-0.01,-0.03
2020-11-19T11:32:11.383Z,-0.01,-0.01
2020-11-19T11:32:11.399Z,0.00,-0.02
2020-11-19T11:32:11.415Z,-0.01,0.01
2020-11-19T11:32:11.431Z,0.03,-0.00
2020-11-19T11:32:11.447Z,-0.02,0.05
2020-11-19T11:32:11.447Z,0.00,0.03
2020-11-19T11:32:11.463Z,0.03,0.02
2020-11-19T11:32:11.479Z,0.01,0.03
2020-11-19T11:32:11.479Z,-0.01,0.05
2020-11-19T11:32:11.495Z,-0.04,0.07
2020-11-19T11:32:11.511Z,-0.04,0.09
2020-11-19T11:32:11.527Z,-0.01,0.08
2020-11-19T11:32:11.542Z,-0.02,0.10
2020-11-19T11:32:11.544Z,0.00,0.11
2020-11-19T11:32:11.558Z,0.02,0.10
2020-11-19T11:32:11.574Z,0.00,0.14
2020-11-19T11:32:11.591Z,0.00,0.13
2020-11-19T11:32:11.595Z,-0.01,0.15
2020-11-19T11:32:11.606Z,-0.01,0.15
2020-11-19T11:32:11.622Z,-0.03,0.17
2020-11-19T11:32:11.638Z,-0.04,0.19
2020-11-19T11:32:11.639Z,-0.04,0.20
2020-11-19T11:32:11.655Z,-0.01,0.20
2020-11-19T11:32:11.670Z,-0.01,0.22
2020-11-19T11:32:11.686Z,-0.02,0.24
2020-11-19T11:32:11.702Z,-0.02,0.24
2020-11-19T11:32:11.702Z,-0.00,0.26
2020-11-19T11:32:11.718Z,-0.01,0.26
2020-11-19T11:32:11.734Z,-0.03,0.27
2020-11-19T11:32:11.750Z,-0.04,0.30
2020-11-19T11:32:11.766Z,-0.04,0.31
2020-11-19T11:32:11.766Z,-0.04,0.32
2020-11-19T11:32:11.782Z,-0.04,0.33
2020-11-19T11:32:11.798Z,-0.03,0.34
2020-11-19T11:32:11.814Z,-0.03,0.34
2020-11-19T11:32:11.814Z,-0.02,0.34
2020-11-19T11:32:11.830Z,-0.02,0.35
2020-11-19T11:32:11.845Z,-0.03,0.37
2020-11-19T11:32:11.862Z,-0.03,0.38
2020-11-19T11:32:11.877Z,-0.04,0.39
2020-11-19T11:32:11.878Z,-0.03,0.40
2020-11-19T11:32:11.893Z,-0.04,0.41
2020-11-19T11:32:11.909Z,-0.03,0.42
2020-11-19T11:32:11.925Z,-0.02,0.42
2020-11-19T11:32:11.941Z,-0.05,0.44
2020-11-19T11:32:11.944Z,-0.05,0.46
2020-11-19T11:32:11.957Z,-0.03,0.47
2020-11-19T11:32:11.973Z,-0.04,0.48
2020-11-19T11:32:11.989Z,-0.05,0.49
2020-11-19T11:32:11.990Z,-0.04,0.51
2020-11-19T11:32:12.005Z,-0.04,0.51
2020-11-19T11:32:12.021Z,-0.05,0.51
2020-11-19T11:32:12.037Z,-0.06,0.53
2020-11-19T11:32:12.053Z,-0.06,0.54
2020-11-19T11:32:12.054Z,-0.06,0.55
2020-11-19T11:32:12.069Z,-0.05,0.56
2020-11-19T11:32:12.085Z,-0.04,0.57
2020-11-19T11:32:12.101Z,-0.06,0.59
2020-11-19T11:32:12.101Z,-0.05,0.59
2020-11-19T11:32:12.117Z,-0.05,0.63
2020-11-19T11:32:12.133Z,-0.07,0.66
2020-11-19T11:32:12.149Z,-0.08,0.68
2020-11-19T11:32:12.165Z,-0.08,0.68
2020-11-19T11:32:12.165Z,-0.07,0.66
2020-11-19T11:32:12.180Z,-0.07,0.64
2020-11-19T11:32:12.196Z,-0.06,0.62
2020-11-19T11:32:12.212Z,-0.05,0.61
2020-11-19T11:32:12.228Z,-0.04,0.61
2020-11-19T11:32:12.229Z,-0.05,0.61
2020-11-19T11:32:12.244Z,-0.05,0.60
2020-11-19T11:32:12.260Z,-0.05,0.59
2020-11-19T11:32:12.276Z,-0.06,0.58
2020-11-19T11:32:12.277Z,-0.06,0.56
2020-11-19T11:32:12.292Z,-0.06,0.55
2020-11-19T11:32:12.308Z,-0.06,0.53
2020-11-19T11:32:12.324Z,-0.06,0.52
2020-11-19T11:32:12.340Z,-0.04,0.51
2020-11-19T11:32:12.344Z,-0.05,0.52
2020-11-19T11:32:12.356Z,-0.05,0.53
2020-11-19T11:32:12.372Z,-0.04,0.54
2020-11-19T11:32:12.388Z,-0.05,0.57
2020-11-19T11:32:12.404Z,-0.06,0.58
2020-11-19T11:32:12.404Z,-0.06,0.59
2020-11-19T11:32:12.420Z,-0.07,0.58
2020-11-19T11:32:12.436Z,-0.06,0.56
2020-11-19T11:32:12.452Z,-0.06,0.55
2020-11-19T11:32:12.452Z,-0.05,0.54
2020-11-19T11:32:12.468Z,-0.05,0.54
2020-11-19T11:32:12.484Z,-0.05,0.54
2020-11-19T11:32:12.500Z,-0.05,0.55
2020-11-19T11:32:12.516Z,-0.05,0.56
2020-11-19T11:32:12.516Z,-0.06,0.57
2020-11-19T11:32:12.531Z,-0.07,0.58
2020-11-19T11:32:12.547Z,-0.06,0.58
2020-11-19T11:32:12.563Z,-0.06,0.57
2020-11-19T11:32:12.580Z,-0.05,0.55
2020-11-19T11:32:12.581Z,-0.05,0.54
2020-11-19T11:32:12.595Z,-0.04,0.54
2020-11-19T11:32:12.611Z,-0.04,0.55
2020-11-19T11:32:12.627Z,-0.05,0.55
2020-11-19T11:32:12.628Z,-0.06,0.56
2020-11-19T11:32:12.643Z,-0.06,0.57
2020-11-19T11:32:12.659Z,-0.06,0.57
2020-11-19T11:32:12.675Z,-0.06,0.57
2020-11-19T11:32:12.691Z,-0.06,0.56
2020-11-19T11:32:12.694Z,-0.05,0.55
2020-11-19T11:32:12.707Z,-0.05,0.54
2020-11-19T11:32:12.723Z,-0.04,0.55
2020-11-19T11:32:12.739Z,-0.04,0.55
2020-11-19T11:32:12.755Z,-0.05,0.55
2020-11-19T11:32:12.755Z,-0.06,0.57
2020-11-19T11:32:12.771Z,-0.06,0.57
2020-11-19T11:32:12.787Z,-0.06,0.57
2020-11-19T11:32:12.803Z,-0.06,0.57
2020-11-19T11:32:12.803Z,-0.06,0.56
2020-11-19T11:32:12.819Z,-0.05,0.55
2020-11-19T11:32:12.835Z,-0.05,0.54
2020-11-19T11:32:12.850Z,-0.04,0.55
2020-11-19T11:32:12.866Z,-0.05,0.55
2020-11-19T11:32:12.867Z,-0.06,0.56
2020-11-19T11:32:12.882Z,-0.06,0.56
2020-11-19T11:32:12.898Z,-0.07,0.57
2020-11-19T11:32:12.917Z,-0.06,0.56
2020-11-19T11:32:12.930Z,-0.06,0.56
2020-11-19T11:32:12.931Z,-0.05,0.56
2020-11-19T11:32:12.946Z,-0.05,0.55
2020-11-19T11:32:12.962Z,-0.05,0.55
2020-11-19T11:32:12.979Z,-0.04,0.55
2020-11-19T11:32:12.982Z,-0.05,0.55
2020-11-19T11:32:12.994Z,-0.06,0.56
2020-11-19T11:32:13.010Z,-0.06,0.56
2020-11-19T11:32:13.026Z,-0.06,0.57
2020-11-19T11:32:13.042Z,-0.06,0.57
2020-11-19T11:32:13.045Z,-0.06,0.56
2020-11-19T11:32:13.058Z,-0.05,0.56
2020-11-19T11:32:13.074Z,-0.05,0.56
2020-11-19T11:32:13.090Z,-0.05,0.55
2020-11-19T11:32:13.106Z,-0.04,0.55
2020-11-19T11:32:13.107Z,-0.05,0.55
2020-11-19T11:32:13.122Z,-0.06,0.56
2020-11-19T11:32:13.138Z,-0.06,0.56
2020-11-19T11:32:13.154Z,-0.06,0.56
2020-11-19T11:32:13.155Z,-0.06,0.56
2020-11-19T11:32:13.169Z,-0.05,0.57
2020-11-19T11:32:13.185Z,-0.05,0.56
2020-11-19T11:32:13.201Z,-0.04,0.56
2020-11-19T11:32:13.217Z,-0.04,0.55
2020-11-19T11:32:13.218Z,-0.05,0.55
2020-11-19T11:32:13.233Z,-0.06,0.55
2020-11-19T11:32:13.249Z,-0.06,0.56
2020-11-19T11:32:13.265Z,-0.06,0.56
2020-11-19T11:32:13.281Z,-0.06,0.57
2020-11-19T11:32:13.282Z,-0.06,0.56
2020-11-19T11:32:13.297Z,-0.06,0.56
2020-11-19T11:32:13.313Z,-0.05,0.56
