2020-11-20T06:45:05.774Z,�Initializing Gyro
2020-11-20T06:45:05.807Z,Testing Gyro connections...
2020-11-20T06:45:05.875Z,Gyro connection successful
2020-11-20T06:45:05.972Z,Calibration ACCELERO...
2020-11-20T06:45:08.546Z,-0.00,-0.00
2020-11-20T06:45:08.548Z,-0.00,0.01
2020-11-20T06:45:08.584Z,0.00,0.00
2020-11-20T06:45:08.610Z,0.00,0.00
2020-11-20T06:45:08.612Z,0.00,0.00
2020-11-20T06:45:08.613Z,-0.00,-0.00
2020-11-20T06:45:08.614Z,0.00,0.00
2020-11-20T06:45:08.635Z,0.00,0.00
2020-11-20T06:45:08.641Z,0.00,0.00
2020-11-20T06:45:08.642Z,0.00,-0.00
2020-11-20T06:45:08.657Z,0.00,-0.00
2020-11-20T06:45:08.673Z,0.01,0.00
2020-11-20T06:45:08.703Z,-0.00,-0.00
2020-11-20T06:45:08.708Z,-0.00,-0.00
2020-11-20T06:45:08.711Z,-0.00,-0.00
2020-11-20T06:45:08.721Z,-0.00,0.00
2020-11-20T06:45:08.739Z,0.00,0.00
2020-11-20T06:45:08.758Z,-0.00,0.01
2020-11-20T06:45:08.763Z,0.01,0.01
2020-11-20T06:45:08.770Z,0.00,0.00
2020-11-20T06:45:08.786Z,0.00,0.01
2020-11-20T06:45:08.801Z,0.00,0.00
2020-11-20T06:45:08.807Z,-0.00,0.00
2020-11-20T06:45:08.823Z,-0.00,-0.00
2020-11-20T06:45:08.844Z,-0.00,-0.00
2020-11-20T06:45:08.869Z,-0.01,0.01
2020-11-20T06:45:08.871Z,0.00,-0.00
2020-11-20T06:45:08.872Z,0.00,0.00
2020-11-20T06:45:08.880Z,0.01,0.01
2020-11-20T06:45:08.896Z,0.01,0.00
2020-11-20T06:45:08.943Z,0.01,0.01
2020-11-20T06:45:08.970Z,-0.00,0.00
2020-11-20T06:45:08.989Z,-0.00,0.01
2020-11-20T06:45:08.989Z,-0.01,0.00
2020-11-20T06:45:08.990Z,-0.00,0.01
2020-11-20T06:45:08.990Z,-0.00,0.00
2020-11-20T06:45:08.991Z,0.00,0.00
2020-11-20T06:45:08.993Z,0.01,0.01
2020-11-20T06:45:09.020Z,0.01,-0.00
2020-11-20T06:45:09.032Z,0.00,0.00
2020-11-20T06:45:09.055Z,-0.00,0.00
2020-11-20T06:45:09.057Z,-0.00,0.00
2020-11-20T06:45:09.058Z,-0.01,0.00
2020-11-20T06:45:09.072Z,-0.00,-0.00
2020-11-20T06:45:09.077Z,-0.01,0.00
2020-11-20T06:45:09.088Z,-0.00,-0.00
2020-11-20T06:45:09.105Z,0.00,0.01
2020-11-20T06:45:09.120Z,0.00,-0.00
2020-11-20T06:45:09.128Z,0.00,0.01
2020-11-20T06:45:09.138Z,0.00,-0.00
2020-11-20T06:45:09.152Z,0.00,0.00
2020-11-20T06:45:09.168Z,-0.00,0.00
2020-11-20T06:45:09.185Z,-0.00,0.00
2020-11-20T06:45:09.194Z,-0.01,0.00
2020-11-20T06:45:09.212Z,-0.00,0.00
2020-11-20T06:45:09.217Z,-0.00,-0.00
2020-11-20T06:45:09.234Z,0.00,-0.01
2020-11-20T06:45:09.242Z,0.00,0.01
2020-11-20T06:45:09.266Z,0.00,0.00
2020-11-20T06:45:09.278Z,-0.00,0.01
2020-11-20T06:45:09.279Z,-0.00,-0.00
2020-11-20T06:45:09.295Z,0.00,0.00
2020-11-20T06:45:09.312Z,0.00,-0.00
2020-11-20T06:45:09.313Z,-0.00,0.00
2020-11-20T06:45:09.327Z,-0.00,-0.00
2020-11-20T06:45:09.345Z,-0.01,0.00
2020-11-20T06:45:09.350Z,0.00,0.00
2020-11-20T06:45:09.371Z,0.00,0.00
2020-11-20T06:45:09.375Z,0.00,0.00
2020-11-20T06:45:09.391Z,0.00,-0.00
2020-11-20T06:45:09.392Z,0.00,-0.00
2020-11-20T06:45:09.409Z,-0.00,0.01
2020-11-20T06:45:09.423Z,-0.00,-0.00
2020-11-20T06:45:09.443Z,-0.00,0.00
2020-11-20T06:45:09.457Z,-0.00,0.00
2020-11-20T06:45:09.460Z,0.00,-0.00
2020-11-20T06:45:09.477Z,-0.00,0.00
2020-11-20T06:45:09.488Z,0.00,0.00
2020-11-20T06:45:09.506Z,0.00,-0.00
2020-11-20T06:45:09.519Z,-0.00,-0.00
2020-11-20T06:45:09.528Z,0.00,0.00
2020-11-20T06:45:09.536Z,0.00,-0.00
2020-11-20T06:45:09.554Z,-0.00,-0.00
2020-11-20T06:45:09.566Z,-0.00,0.00
2020-11-20T06:45:09.583Z,-0.00,0.01
2020-11-20T06:45:09.594Z,-0.00,0.00
2020-11-20T06:45:09.602Z,-0.00,-0.01
2020-11-20T06:45:09.614Z,0.00,-0.00
2020-11-20T06:45:09.638Z,-0.00,-0.00
2020-11-20T06:45:09.646Z,0.00,0.00
2020-11-20T06:45:09.647Z,0.00,0.01
2020-11-20T06:45:09.662Z,0.00,0.01
2020-11-20T06:45:09.683Z,-0.00,0.00
2020-11-20T06:45:09.694Z,-0.00,-0.00
2020-11-20T06:45:09.694Z,-0.01,0.01
2020-11-20T06:45:09.710Z,-0.00,0.01
2020-11-20T06:45:09.726Z,-0.00,-0.00
2020-11-20T06:45:09.748Z,0.00,0.01
2020-11-20T06:45:09.759Z,0.00,0.00
2020-11-20T06:45:09.778Z,0.00,0.00
2020-11-20T06:45:09.783Z,-0.00,0.00
2020-11-20T06:45:09.829Z,-0.00,0.00
2020-11-20T06:45:09.833Z,-0.01,-0.00
2020-11-20T06:45:09.844Z,-0.00,-0.00
2020-11-20T06:45:09.845Z,-0.00,0.00
2020-11-20T06:45:09.873Z,0.00,0.00
2020-11-20T06:45:09.875Z,-0.00,0.00
2020-11-20T06:45:09.878Z,0.00,0.01
2020-11-20T06:45:09.879Z,0.00,0.01
2020-11-20T06:45:09.889Z,0.00,0.01
2020-11-20T06:45:09.903Z,-0.00,0.00
2020-11-20T06:45:09.940Z,-0.00,0.01
2020-11-20T06:45:09.980Z,0.00,0.00
2020-11-20T06:45:09.990Z,-0.00,0.00
2020-11-20T06:45:10.035Z,-0.00,0.00
2020-11-20T06:45:10.044Z,0.00,0.00
2020-11-20T06:45:10.063Z,-0.00,0.00
2020-11-20T06:45:10.089Z,0.00,0.00
2020-11-20T06:45:10.097Z,0.00,0.00
2020-11-20T06:45:10.108Z,0.00,0.00
2020-11-20T06:45:10.110Z,-0.00,-0.00
2020-11-20T06:45:10.113Z,-0.00,0.00
2020-11-20T06:45:10.130Z,-0.00,0.00
2020-11-20T06:45:10.134Z,-0.00,-0.00
2020-11-20T06:45:10.144Z,0.00,0.00
2020-11-20T06:45:10.146Z,-0.00,0.01
2020-11-20T06:45:10.151Z,0.00,0.00
2020-11-20T06:45:10.161Z,0.00,0.00
2020-11-20T06:45:10.163Z,0.00,-0.00
2020-11-20T06:45:10.181Z,0.00,0.00
2020-11-20T06:45:10.208Z,-0.00,0.01
2020-11-20T06:45:10.285Z,-0.00,-0.00
2020-11-20T06:45:10.321Z,-0.00,0.01
2020-11-20T06:45:10.336Z,0.00,0.01
2020-11-20T06:45:10.366Z,0.00,0.00
2020-11-20T06:45:10.458Z,-0.00,0.00
2020-11-20T06:45:10.469Z,-0.00,0.00
2020-11-20T06:45:10.490Z,-0.00,-0.00
2020-11-20T06:45:10.494Z,0.00,0.01
2020-11-20T06:45:10.502Z,0.00,-0.01
2020-11-20T06:45:10.520Z,-0.00,0.00
2020-11-20T06:45:10.560Z,0.00,-0.00
2020-11-20T06:45:10.588Z,0.00,0.01
2020-11-20T06:45:10.617Z,-0.00,0.01
2020-11-20T06:45:10.627Z,-0.00,-0.00
2020-11-20T06:45:10.634Z,0.00,0.00
2020-11-20T06:45:10.645Z,0.00,0.00
2020-11-20T06:45:10.656Z,-0.00,0.00
2020-11-20T06:45:10.669Z,-0.00,0.00
2020-11-20T06:45:10.752Z,0.00,0.01
2020-11-20T06:45:10.786Z,0.00,0.00
2020-11-20T06:45:10.808Z,-0.00,-0.01
2020-11-20T06:45:10.828Z,0.00,0.00
2020-11-20T06:45:10.840Z,-0.00,0.00
