2020-11-21T07:29:05.611Z,ZInitializing Gyro
2020-11-21T07:29:05.643Z,Testing Gyro connections...
2020-11-21T07:29:05.675Z,Gyro connection successful
2020-11-21T07:29:05.707Z,Calibration ACCELERO...
2020-11-21T07:29:08.371Z,0.00,0.00
2020-11-21T07:29:08.387Z,0.00,-0.00
2020-11-21T07:29:08.403Z,0.00,0.00
2020-11-21T07:29:08.419Z,-0.00,0.00
2020-11-21T07:29:08.422Z,0.01,0.00
2020-11-21T07:29:08.435Z,0.00,0.00
2020-11-21T07:29:08.451Z,0.00,0.00
2020-11-21T07:29:08.467Z,-0.00,0.00
2020-11-21T07:29:08.474Z,-0.00,0.00
2020-11-21T07:29:08.483Z,-0.00,-0.00
2020-11-21T07:29:08.499Z,0.00,-0.00
2020-11-21T07:29:08.514Z,-0.00,0.00
2020-11-21T07:29:08.531Z,0.00,0.00
2020-11-21T07:29:08.531Z,0.00,-0.00
2020-11-21T07:29:08.546Z,0.00,-0.00
2020-11-21T07:29:08.562Z,-0.00,-0.00
2020-11-21T07:29:08.578Z,0.00,0.00
2020-11-21T07:29:08.594Z,-0.00,-0.00
2020-11-21T07:29:08.595Z,-0.00,-0.00
2020-11-21T07:29:08.610Z,-0.00,0.00
2020-11-21T07:29:08.626Z,-0.00,-0.00
2020-11-21T07:29:08.642Z,0.00,-0.00
2020-11-21T07:29:08.658Z,-0.00,0.01
2020-11-21T07:29:08.658Z,-0.00,-0.01
2020-11-21T07:29:08.674Z,0.00,-0.00
2020-11-21T07:29:08.690Z,0.00,0.00
2020-11-21T07:29:08.706Z,-0.00,0.00
2020-11-21T07:29:08.722Z,-0.00,0.00
2020-11-21T07:29:08.724Z,-0.00,-0.01
2020-11-21T07:29:08.738Z,-0.00,-0.00
2020-11-21T07:29:08.754Z,-0.00,0.00
2020-11-21T07:29:08.770Z,-0.00,0.00
2020-11-21T07:29:08.786Z,0.00,0.01
2020-11-21T07:29:08.790Z,0.00,-0.00
2020-11-21T07:29:08.802Z,-0.00,-0.00
2020-11-21T07:29:08.817Z,0.01,-0.00
2020-11-21T07:29:08.834Z,-0.00,0.00
2020-11-21T07:29:08.841Z,0.00,0.00
2020-11-21T07:29:08.849Z,-0.00,-0.00
2020-11-21T07:29:08.865Z,-0.00,0.00
2020-11-21T07:29:08.881Z,0.00,0.00
2020-11-21T07:29:08.897Z,0.00,-0.00
2020-11-21T07:29:08.898Z,-0.00,0.00
2020-11-21T07:29:08.913Z,-0.00,-0.00
2020-11-21T07:29:08.929Z,-0.00,0.00
2020-11-21T07:29:08.945Z,0.00,-0.00
2020-11-21T07:29:08.961Z,0.00,0.00
2020-11-21T07:29:08.962Z,0.00,0.00
2020-11-21T07:29:08.977Z,-0.00,-0.00
2020-11-21T07:29:08.993Z,-0.00,0.00
2020-11-21T07:29:09.009Z,0.00,0.00
2020-11-21T07:29:09.009Z,0.00,0.00
2020-11-21T07:29:09.025Z,-0.00,0.00
2020-11-21T07:29:09.041Z,0.00,0.00
2020-11-21T07:29:09.057Z,-0.00,-0.00
2020-11-21T07:29:09.057Z,-0.00,0.01
2020-11-21T07:29:09.073Z,0.00,0.00
2020-11-21T07:29:09.089Z,0.00,-0.00
2020-11-21T07:29:09.105Z,-0.00,0.00
2020-11-21T07:29:09.121Z,0.00,-0.00
2020-11-21T07:29:09.123Z,-0.00,-0.00
2020-11-21T07:29:09.136Z,-0.00,0.00
2020-11-21T07:29:09.152Z,0.00,0.00
2020-11-21T07:29:09.168Z,-0.00,0.01
2020-11-21T07:29:09.173Z,0.00,-0.01
2020-11-21T07:29:09.184Z,-0.01,-0.00
2020-11-21T07:29:09.201Z,0.00,0.01
2020-11-21T07:29:09.217Z,0.00,0.00
2020-11-21T07:29:09.233Z,-0.00,0.00
2020-11-21T07:29:09.241Z,-0.00,0.00
2020-11-21T07:29:09.248Z,0.00,-0.00
2020-11-21T07:29:09.264Z,0.00,0.00
2020-11-21T07:29:09.280Z,-0.00,-0.00
2020-11-21T07:29:09.280Z,-0.01,0.00
2020-11-21T07:29:09.296Z,0.00,0.01
2020-11-21T07:29:09.312Z,-0.00,-0.00
2020-11-21T07:29:09.328Z,-0.00,0.00
2020-11-21T07:29:09.344Z,-0.00,0.00
2020-11-21T07:29:09.344Z,-0.00,0.00
2020-11-21T07:29:09.360Z,0.00,0.01
2020-11-21T07:29:09.376Z,-0.00,-0.00
2020-11-21T07:29:09.392Z,0.01,0.01
2020-11-21T07:29:09.392Z,-0.00,0.01
2020-11-21T07:29:09.408Z,0.00,-0.00
2020-11-21T07:29:09.424Z,-0.00,-0.00
2020-11-21T07:29:09.440Z,-0.00,-0.00
2020-11-21T07:29:09.456Z,-0.00,-0.00
2020-11-21T07:29:09.472Z,-0.00,0.00
2020-11-21T07:29:09.473Z,0.00,0.00
2020-11-21T07:29:09.487Z,-0.01,0.01
2020-11-21T07:29:09.503Z,-0.00,-0.00
2020-11-21T07:29:09.519Z,-0.00,0.00
2020-11-21T07:29:09.535Z,0.00,-0.00
2020-11-21T07:29:09.541Z,-0.00,0.00
2020-11-21T07:29:09.551Z,0.00,0.00
2020-11-21T07:29:09.567Z,-0.00,-0.00
2020-11-21T07:29:09.583Z,0.00,-0.00
2020-11-21T07:29:09.591Z,0.00,0.00
2020-11-21T07:29:09.599Z,0.00,-0.00
2020-11-21T07:29:09.615Z,-0.00,0.00
2020-11-21T07:29:09.631Z,-0.00,0.00
2020-11-21T07:29:09.647Z,-0.00,-0.01
2020-11-21T07:29:09.648Z,-0.00,0.01
2020-11-21T07:29:09.663Z,-0.00,-0.00
2020-11-21T07:29:09.679Z,-0.00,0.00
2020-11-21T07:29:09.695Z,-0.00,-0.00
2020-11-21T07:29:09.711Z,-0.00,-0.00
2020-11-21T07:29:09.727Z,-0.00,0.00
2020-11-21T07:29:09.727Z,-0.00,0.00
2020-11-21T07:29:09.743Z,-0.00,0.00
2020-11-21T07:29:09.759Z,-0.00,-0.00
2020-11-21T07:29:09.775Z,-0.00,0.00
2020-11-21T07:29:09.791Z,-0.00,-0.00
2020-11-21T07:29:09.791Z,-0.00,-0.00
2020-11-21T07:29:09.806Z,0.00,0.00
2020-11-21T07:29:09.822Z,0.00,-0.01
2020-11-21T07:29:09.838Z,0.00,0.00
2020-11-21T07:29:09.854Z,-0.00,-0.01
2020-11-21T07:29:09.856Z,-0.00,0.00
2020-11-21T07:29:09.870Z,0.00,0.00
2020-11-21T07:29:09.886Z,0.00,-0.00
2020-11-21T07:29:09.902Z,-0.00,0.00
2020-11-21T07:29:09.907Z,-0.00,0.00
2020-11-21T07:29:09.918Z,-0.00,0.00
2020-11-21T07:29:09.934Z,0.01,-0.00
2020-11-21T07:29:09.950Z,0.00,0.00
2020-11-21T07:29:09.956Z,0.00,0.00
2020-11-21T07:29:09.967Z,-0.00,-0.00
2020-11-21T07:29:09.982Z,-0.00,-0.00
2020-11-21T07:29:09.998Z,-0.00,0.00
2020-11-21T07:29:10.014Z,-0.00,-0.00
2020-11-21T07:29:10.030Z,-0.00,-0.00
2020-11-21T07:29:10.030Z,-0.00,0.00
2020-11-21T07:29:10.046Z,-0.00,-0.00
2020-11-21T07:29:10.062Z,-0.00,0.01
2020-11-21T07:29:10.078Z,-0.00,-0.00
2020-11-21T07:29:10.094Z,-0.00,0.00
2020-11-21T07:29:10.094Z,0.00,0.00
2020-11-21T07:29:10.110Z,-0.00,0.01
